id,nameeng,nameamh,position,placeofassignment,detail,,
71,Gemechu Dubbisso Godana,አቶ ገመቹ ዱቢሶ ጐዳና,ፌ/ዋና ኦዲትረ,ፌ/ዋና ኦዲተር መ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
72,Geremew Garije Gidaboo,አቶ ገረመው ጋርጄ ጊዳቦ,ዋና ዳይሬክተር,ብሔራዊ ሎተሪ አስተዳደር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
73,Getachew Belay Wondim,አቶ ጌታቸው በላይ ወንድም,ዋና ዳይሬክተር,የገግል ድርጅቶች ሠራተኞች ማ/ኤጀንሲ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
74,Getachew Mengistie Alemayehu,አቶ ጌታቸው መንግሥቴ አለማየሁ,ሚ/ዴኤታ,ትራንስፖርት ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
75,Getahun Moges Kiflie,አቶ ጌታሁን ሞገስ ክፍሌ,ዋና ዳይሬክተር,ኤሌክትሪክ ኤጀንሲ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
76,Getahun Nana Jenber,አቶ ጌታሁን ናና ጀንበር,ም/ገዥ,ብሄራዊ ባንክ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
77,Getahun Tadesse,አቶ ጌታሁን ታደሰ,ዋና ዳይሬክተር,የብረታብረት ልማት ማዕከል,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
78,Gidey G/Medhin Debessu,አቶ ግደይ ገ/መድህን ደበሱ,ዋና ዳይሬክተር,የኢት/ስጋና ወተት ቴክኖሎጂ ኢንስቲትዩት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
79,Girmawit Haile G/Hiwot,ወ/ሮ ግርማዊት ኃይሌ ገ/ህይወት,ዋና ዳይሬክተር,የውሃ ልማት ፈንድ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
80,Girmay Kebede Abadi,አቶ ግርማይ ከበደ አባዲ,ወን/መ/ዘ/ሃ,ፌዴራል ፖሊስ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
81,Gobena Guangul Meshesha,አቶ ጐበና ጓንጉል መሸሻ,ም/ዋና ዳይሬክተር,ኢትዮ ሲቪል አቪዬሽን ባለስልጣን,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
82,Habtie Fuchalla Boncha,ሀብቴ  ፍቻላ ቦንቻ ,ም/ፕሬዚዳንት,ፌደራል ከፍተኛ ፍ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
83,Haile Atfuwaye Ayele,አቶ ኃይሌ አትፏዬ አየለ,ም/ዋና ዳይሬክተር,የግብርና ምርምና ኢንስቲትዩት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
84,Haileab Abrha,አቶ ኃይለአብ አብርሃ,ም/ዋና ሥራ አስኪያጅ,የኢትዮጵያ ሬዲዮና ቴሌቪዥን ድርጅት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
85,H/Mesqel Tefera H/Marqos,አቶ ኃይለመስቀል ተፈራ ኃ/ማርቆስ,ሚ/ዴኤታ,ከተማ ልማት ኮንስትራክሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
86,H/Silassie Tekeaguangul,አቶ ኃ/ስላሴ ተክኤ ጓንጉል,ዋና ዳይሬክተር,ሆልቲካልቸራል ልማት ኤጀንሲ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
87,Hailu Aderie Mesqelie,አቶ ኃይሉ አደሬ መስቀሌ,ም/ዋና ዳይሬክተር,የመንግሥት ቤቶች ኤጀንሲ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
88,Hassen Shifa,አቶ ሀሰን ሽፋ,ም/ዋ/ዳይሬክተር,ፌዴራል ፖሊስ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
89,Higamlak Haile Tessema,አቶ ህግአምላክ ሀይሌ ተሰማ,ዋና ዳይሬክት,ብሄራዊ የመጠባበቂያ ነዳጅ ክምችት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
90,Jara H/Mariyam Mamo,አቶ ጃራ ኃ/ማሪያም ማሞ,ዋና ዳይሬክተር,ቅርስ ጥናትና ጥበቃ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
91,Kefyalew Azeze Melaku,ከፍያለው አዘዘ መላኩ,አ/አ ም/ከንቲባ,አዲስ አበባ ከተማ አስተዳደር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
92,Dr. Kaba Ourgessa Dinssa,ዶ/ር ካባ ኡርጌሳ ዲንሣ,ሚ/ዴኤታ,ት/ሚኒስቴር ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
93,Kalayu G/Hiwot,አቶ ካልአዩ ገ/ህይወት,ዋና ዳይረክተር,ፌደራል ጉዳዮች ግጭት መከላከልና አፈታት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
94,Kassahun Embaye Yikuno,አቶ ካሣሁን እምባዬ ይኩኖ,ም/ዋ/ዳይሬክተር,ብዝሀ ሕይወት ጥበቃ ኢንትቲዩት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
95,Kassahun H/ Mariyam Beyene,አቶ ካሳሁን ኃ/ማሪያም በየነ,ዋና ዳይሬክተር,ፌደራል ትራንስፖርት ባለስልጣን,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
96,Kebede Gerba Gimssa,አቶ ከበደ ገርባ ጊምሣ,ሚ/ዴኤታ,ውሀና ኢነርጂ ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
97,Dr. Kebede Worku Admassu,ዶ/ር  ከበደ ወርቁ አድማሱ,ሚ/ዴኤታ,ጤና ጥበቃ ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
98,Kidane Assefa G/Medhin ,አቶ ኪዳነ አሰፋ ገ/መድህን,ዋና ዳይሬክተር,ብሔራዊ ሚትዮሮሎጂ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
99,Kifle Argaw Workagegnehu,አቶ ክፍሌ አርጋው ወርቃገኘሁ,ዋ/ዳይሬክተር,ዱ/እ/ል/ጥ/ባለስልጣን,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
100,Dr. Kesetebirhan Admassu,ዶ/ር ከሰተብርሃን አድማሱ,ሚ/ዴኤታ,ጤና ጥበቃ ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
101,Kumma Demeqssa Tokon,ኩማ በደመቅሳ ቶኮን,የአ/አ ከተማ ከንቲባ,አዲስ አበባ ከተማ አስተዳደር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
102,Legesse Negash Bayu,አቶ ለገሠ ነጋሽ ባዩ,ም/ዋና ዳይሬክተር,ፌ.ማረሚያ ቤቶች አስተዳደር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
103,Letifa Abajobir Abadula,ወ/ሮ ለጢፋ አባጆቢር አባዱላ,ዋና ዳሬክተር,የሴቶች ልማት ፈንድ ጽ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
104,Leuelseged Gulilat Desta,አቶ ልዑልሰገድ ጉልላት ደስታ,ም/ዋ/ዳይሬክተር,ኢትዮ ሲቪል አቪዮሽን ባለስልጣን,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
105,Masresha G/Silassie Giddie,አቶ ማስረሻ ገ/ሥላሴ ግዲ,ዋ/ዳይሬክተር,ኢትዮጵያ ጂኦሎጁካል ሰርቬይ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
106,Mebratrie Teklemariyam Gasho,አቶ መብራቴ ተክለማሪም ጋሾ,ም/ዋና ዳይሬክተር,ፌደራል ማረሚያ ቤቶች አስተዳደር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
107,Medhin Kiros G/Her,አቶ መድህን ኪሮስ ገ/እግዚአብሔር,ም/ኘሬዚዳንት,ፌ/ጠ/ፍ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
108,Sheh Mehammed Almubarek,ሸህ መሐመድ አልሙባረክ,ም/ኘሬዚዳንት,ፌ/ሸሪዓ ፍ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
109,Mekasha Abrea ,አቶ መካሻ አበራ,ም/ዋና ዳይሬክተር,የፍትህ አካላት ባለሙያዎች ማሰልጠኛ ማዕከል,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
110,Mekonnen Abera,አቶ መኮንን አበራ,ዋና ዳይረሬክተር,ማሪታይም ጉዳዮች ባለስጣን,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
111,Dr. Menberetsehay Tadesse W/Gebriel,ዶ/ር መንበረፀሐይ ታደሰ ወ/ገብርኤል,ዋና ዳይሬክተር,የህግና ፍትህ ምርምር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
112,Mengisteab G/Kidan G/Egziabher,አቶ መንግሥትአብ ገ/ኪዳን ገ/እግዚአብሔር,ሚ/ር ዴኤታ,ጠቅላይ ሚ/ር ጽ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
113,Mengisteab W/Aregay Teferi,አቶ መንግሥተአብ ወ/አረጋይ ተፈሪ,ም/ዋ/ዳይሬክተር,ጤና ጥበቃ ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
114,Mengistu Tufa Bonso ,አቶ መንግስቱ ቱፋ ቦንሶ,ም/ዋና ዳይሬክተር,የፌ/ማረሚያ ቤቶች አስተዳደር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
115,Meseret G/Mariyam Tekulo,አቶ መሠረት ገ/ማርያም ተኩሉ,ም/ዋ/ዳይሬክተር,የበጐ አድራጐት ድርጅትና ማህበራት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
116,Mesfin Abebe Bediy,አቶ መስፍን አበበ በድዬ,ም/ዋና ዳይሬክተር,በፌዴራል ፖሊስ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
117,Mesfin Haile Gerbi,አቶ መስፍን ኃይሌ ገርቢ,ጊ/ም/ዋ/ዳይሬክተር,የኢት.መንገዶች ባለሥልጣን,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
